08:24:05.889 1891 [main] INFO  rapla.server.notification - NotificationServer Plugin started
08:24:05.889 1891 [main] INFO  rapla - Rapla server started
08:24:05.967 1969 [main] INFO  rapla.client - Starting gui 
08:24:06.076 2078 [main] INFO  rapla.client.facade - Using rapladatasource remotestore
08:24:06.123 2125 [main] INFO  rapla.remotestore - Connecting to server and starting login..
08:24:06.123 2125 [main] INFO  rapla.remotestore - login successfull
08:24:06.123 2125 [main] INFO  rapla.client.facade - Login admin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.weekview.WeekViewPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.urlencryption.UrlEncryptionPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.timeslot.TimeslotPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.tempatewizard.TempateWizardPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.tableview.internal.TableViewPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.setowner.SetOwnerPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.rightsreport.RightsReportPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.periodcopy.PeriodCopyPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.notification.NotificationPlugin
08:24:06.123 2125 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.monthview.MonthViewPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.mail.MailPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.jndi.JNDIPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.ical.ImportFromICalPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.export2ical.Export2iCalPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.eventtimecalculator.EventTimeCalculatorPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.defaultwizard.DefaultWizardPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.dayresource.DayResourceViewPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.compactweekview.CompactWeekViewPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.autoexport.AutoExportPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.archiver.ArchiverPlugin
08:24:06.139 2141 [main] INFO  rapla.client.plugin - Installed plugin org.rapla.plugin.appointmentcounter.AppointmentCounterPlugin
08:25:46.107 854449 [qtp863831416-42] INFO  rapla.server.anonymous.login - Successfull login for 'admin'
08:41:45.584 1813926 [qtp863831416-55] WARN  rapla.server.html.404 - 404: Page index.hml not found in Rapla context
08:41:50.053 1818395 [qtp863831416-55] WARN  rapla.server.html.404 - 404: Page index.html not found in Rapla context
08:58:04.253 2040255 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
08:58:04.283 2040285 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
08:58:29.259 2065261 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
08:58:29.267 2065269 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
08:59:04.532 2100534 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
08:59:04.538 2100540 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
08:59:20.940 2116942 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
08:59:20.945 2116947 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
09:00:16.131 2172133 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
09:00:16.156 2172158 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
09:00:28.235 2184237 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
09:00:28.239 2184241 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
09:04:49.878 2445880 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
09:04:49.900 2445902 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
09:06:06.483 2522485 [AWT-EventQueue-0] INFO  rapla.server.session - Dispatching change for user admin
09:06:06.497 2522499 [AWT-EventQueue-0] INFO  rapla.server.session - Change for user admin dispatched.
09:26:13.173 4481515 [qtp863831416-101] INFO  rapla.server.admin - Dispatching change for user admin
